ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
138,10183,medyczka,problem z brzuchem,Witam.Mam pytanie co to może być.Podczas cwiczenia brzucha(unoszenia nóg do góry leżąca) pompuje mi się środek brzucha.-,24-09-2014,"góry leżąca
pytanie","cwiczenie brzucha
pompowanie","Cwiczenie brzucha
cwiczenie brzuszne
Cwiczenia brzucha",zdrowie,
698,10220,medyczka,Problem z kręgosłupem - chwilowa utrata władzy kończyn dolnych- proszę o pomoc,"Witam.Proszę o pomoc w następującej sprawie.Około rok temu podczas ćwiczeń na siłowni w czasie wykonywania przysiadów doszło do utraty czucia w nogach ( mogłem poruszać nogami ale utraciłem czucie w dotyku nóg ) które trwało dosłownie kilka sekund, zdziwiłem się samym faktem, a tym bardziej że nie był to początek treningu - wręcz przeciwnie ćwiczyłem już około 30 minut, ćwiczenie poprzedziłem rozgrzewką. przez rok nie było żadnych objawów tamtego zdarzenia, niestety ostatnio zaczęły boleć mnie plecy ( kręgosłup na odcinku lędźwiowym i to na samym końcu tego odcinka ), doszło również do nieprzyjemnego zdarzenia - leżąc na"" twardej ławce podczas próby wstania całkowicie utraciłem władzę w nogach i dosłownie bezwładnie upadłem na ziemie, również nie miałem czucia w dotyku, po kilkunastu sekundach wszystko było już całkowicie normalnie. Niepokoi mnie jednak to zdarzenie oraz utrzymujący się ból pleców, dodam iż pracuje dość ciężko fizycznie.Dokonałem prześwietlenia kręgosłupa - wykazało jedynie ""zwężenie krążka międzykręgowego L5-S1, poza tym kręgosłup 1-s rtg bez zmian""Czy sytuacja może się powtarzać i jakie kroki podjąć by wrócić do poprzedniego stanu zdrowia?Dziękuję wszystkim za pomoc.Pozdrawiam",21-09-2014,"nogach
utraty czucia
rok
dotyku nóg
zdarzenia","czucie w dotyku
przysiady","czucie w dotyku
ból pleców
rehabilitacja
kręgosłup",zagranica,
563,10258,medyczka,"Ból gardła i pieczenie przełyku, wysypka, dochodzi swędzenie.","Szanowni,3 dni temu, kładąc się spać, poczułam ból gardła, pomyślałam, że do rana przejdzie, ale wzięłam tabletkę do ssania. W nocy obudził mnie już ból, uniemożliwiający przełykanie śliny. Chciało mi się dosłownie płakać. Myśląc, że to jakieś przeziębienie, zażyłam jakieś tabletki, ale nie pomogło. Rano poszłam do pracy i dalej bolało mnie to gardło. Wieczorem się pogorszyło. Kolejnej nocy miałam już gorączkę, było mi na zmianę zimno i gorąco. I gdy dotykałam się gardła skóra była gorąca, to samo na klatce piersiowej. Do tego przełyk zaczął mnie palić i zaczęły mnie boleć plecy tak pod żebrami (nerki?) Do tego pojawiła się jakaś wysypka. Początkowo było to może 10 znaków na ręce, brzuchu i klatce piersiowej. Przestraszona, nie mogąc się już zarejestrować do lekarza, poszłam na pogotowie. (Mieszkam w Anglii) Lekarz powiedział mi, że mam czerwone gardło- stąd ból, przełyk też piecze mnie od gardła, bo to tak działa. I wysypka też od tego. Miałam 37,2* powiedział, że to na pewno nie jest reakcja alergiczna (czego się obawiałam) zalecono mi branie paracetamolu. Mam żółty język. (Nie palę) Nie wiem co mam robić, bo o ile gardło już lepiej, to ta wysypka się rozlała i do tego pojawiło się swędzenie. Czy mogę prosić o radę?Jedyne co mi przychodzi do głowy, to że nawdychałam się detergentów. I jakaś reakcja alergiczna się pojawiła i podrażniłam błony śluzowe. (W sobotę sprzątałam, a wieczorem już pojawił się ten ból) Z góry serdecznie dziękuję.",09-07-2014,"ból gardła
klatce piersiowej
wysypka
przełyk
nocy","ból gardła
choroby zakaźne
choroby przełykowe
choroby zywieniowe
","ból gardła
przełyk
ból gardła",,Anglia
1831,10288,medyczka,Ból w klatce piersiowej od ponad roku,"Witam mam na imie Mati,Na początku cos o mnie:*wiek 22 lata*waga 74kg*wzrost 182 cm*papierosy (żucilem 13 miesiecy temu)*kawa jedna w tygodniu maxymalnie albo czasem i wcale*alkohol od ostatniego roku 0, wczesniej tez bardzo maloTeraz moze do sedna a dodam tylko ze mieszkam w wielkiej brytani, Rok temu tzn w sierpniu 2013r. poczułem ból w klatce piersiowej po lewej stronie, czułem cos takiego jakby kołatanie nie regularne bicie serca to bylo okolo godziny 14 dosc silne ale malo sie tym przejolem myslalem ze poprostu minie, poszedlem normalnie do pracy(pracuje od 14 do 23) ale bol nie ustępowal i te takie jakby kołatanie dodam jeszcze ze bolala mnie lewa reka. Po pracy wrocilem do domu i mialem problemy z usnieciem czulem sie jakbym miał słonia na klatce piersiowej, rano pierwsza rzecz jaka zrobilem poszedlem do lekarza opowiedziłem mu co czuje ale on odrazu sie zasmial i powiedzial ze to nie może byc serce i ze nie mam sie czym przejmowac bo jestem mlody nie pale(wtedy od miesiaca) kawy malo, alkohol bardzo malo, i ze w sumie ten bol wystąpil w spoczynku i ze to nie moze byc serce cisnienie rowniez zmierzyl i powiedzial ze jest ok. Jedyne co zrobil to powiedzial ze to żołądek i dostalem omeprazol oslonowo. Oczywiscie nic nie pomoglo w miedzy czasie chodzilem do lekarza mialem podejrzenie kamicy żólciowej ale zrobili mi usg i to wykluczyli, mialem rowniez gastroskopie na ktorej wyszlo ze mam PRZEWLEKŁE ZAPALENIE BLONY SLUZOWEJ ŻOŁĄDKA z poczatku uspokoilem sie bo wsumie z tego co czytalem to nie jest niebezpieczne ale lecze sie na to juz wsumie od roku bo leczenie polega na podawaniu lekow oslonowych dla żoładka.Dodam jeszcze ze sprawdzili mi trzustke, krew, usg calego brzucha. Przez ponad 11 miesicy nie sprawdzali serca dopiero po mojej prosbie wyslali mnie na EKG ktore wyszlo dobrze i powiedzieli ze nie ma podstaw myslec ze to serce bo gdyby mnie rok czasu serce bolało napewno juz by mnie na tym swiecie nie bylo w sumie to bylo pocieszajace. Dodam jeszcze ze czesto ""przelewa"" mi sie w jelitach nie wiem czy to ma jakies znaczenie, czesto czuje sie zmeczony",11-09-2014,"klatce piersiowej
bol
lekarza
usg
regularne bicie serca","Mati
bol w klatce piersiowej po lewej stronie
bicie serca
kolatanie","ból w klatce piersiowej
bicie serca
wlasciwosci zdrowotne
poszedlem do pracy
mieso",zagranica,Mati
832,10347,medyczka,niedowaga u 16-latki a bóle głowy?,"Witam.Mam 16 lat i bardzo dużą niedowagę. Obecnie wazę 40kg przy ponad 172 wzrostu. Wyniki mam dobre, ale robione były tylko na podstawowe rzeczy typu krew, tarczyca. Czy może to być spowodowane jakąś konkretną chorobą? Kolejną rzeczą jest to że mam dosyć często bóle glowy, zwlaszcza przed jakimś stresujacym wydarzeniem lub po tygodniu wytężonej pracy. Towarzyszy temu spadek masy ciala. 30 sierpnia wazylam 46 kilo, zas 1 września 40 - w tym czasie stresowalam się pójściem do nowej szkoly, ale nie jakoś szczególnie mocno.Co mi jest? Mam juz dość cotygodniowych sobót przelezanych z powodu bólu glowy. Jak przytyc? Czy to może mieć jakiś związek z bólem glowy lub nerwami?",03-09-2014,"bóle glowy
wyniki
konkretną chorobą
dobre
podstawowe rzeczy typu krew","ból glowy
niedowaga
wazenie
wlasciwosci zdrowotne
w","ból glowy
stres
nerwy
przytyc",zagranica,
1560,10365,medyczka,Bardzo częste odczucie wymiotne,"Witam, od kilku miesięcy zmagam się z problemem odruchów wymiotnych. Nie mogę normalnie pojechać samochodem, pociągiem lub po prostu wyjść pochodzić po sklepach i tym podobne. Ciągle mam uczucie, że zaraz zwymiotuje. Byłem u lekarza ale stwierdził, że może to być spowodowane jakimiś stresami więc próbowałem z tabletkami na uspokojenie, jakimiś kropelkami na żołądek, w końcu spróbowałem jeszcze Aviomarinu, mało pomagało. Nie wiem już co robić, pomocy.",01-09-2014,"uspokojenie
kropelkami
żołądek
tabletkami
pociągiem","Aviomarin
odruchy wymiotne","odruchy wymiotne
Aviomarin
leki na uspokojenie",zagranica,Aviomarinu
437,10366,medyczka,Pocenie się chlorem po basenie,"Witam, od niedawna uprawiam 5 razy w tyg. sport, tj. 2 razy gram w piłkę nożną i 3 razy chodzę na basen, ostatnio po piłce zauważyłem, że koszulka zamiast śmierdzieć potem, głównie śmierdzi chlorem, czy to jest normalne?",31-08-2014,"razy
piłkę nożną
basen
piłce
sport","chlor
chlor
piłka nożna
sport","piłka nożna
sport
piłka nożna",sport,
1430,10383,medyczka,microgynon30 a dretwiejaca dlon,"Witam. od ponad roku mam problem z dretwiejaca prawa dlonia. Mieszkam w UK, zmieniono mi tu tabletki na microgynon I wtedy sie zaczelo, dretwienie przechodzi na kilka tygodni I znow sie pojawia. Ostatnio nasililo sie I jest nie do zniesienia, cogorsza lewa reka rowniez zaczyna dretwiec. dodam, ze jakis rok temu konsultowalalam ten objaw z lekarzem, ktory doradzil mi nie spac na tej rece.. w ulotce wyczytalam, ze w przypadku wystapinie dretwiwnia badz unieruchomienia czesci ciala nalezy natychmiast odstawic tabletki I skontaktowac sie z lekarzem.Czy wizyta jest konieczna? Moze wystarczy prostu odstwic?",30-08-2014,"lekarzem
tabletki
konsultowalalam
objaw
rok","dretwienie prawa dlonia
microgynon
unieruchomienie","dretwienie
microgynon
wystapinie dretwiwnia
dretwiec
unieruch",styl życia i wypoczynek,UK
1303,10394,medyczka,Pigułki a biegunka,"Otóż wczoraj o normalnej porze zazylam pigułkę,(19 a dokładnie 18,50),o godzinie 22,15 oddalam 2 stolce,jeden luzny,drugi bardziej luzniejszy. Zastanawiam sie czy pigułka zdazyla sie wchlonac,czy zabezpieczenie jest zachwiane.?",29-08-2014,"zabezpieczenie
zachwiane
drugi
pigułka
stolce","pigułka
stolce
pigułki zywnosciowe
pi","bezpieczeństwo
pigułka
zabezpieczenie
zabezpieczenia
zabezpieczenie",ekonomia,
860,10395,medyczka,Pieczenie pochwy i cewki,"Od pół roku mam problem, piecze mnie po stosunku przy wejściu do pochwy i cała cewka moczowa... cewka jest opuchnięta i nie mogę się dotknąć. Pochwa też jest tak jakby opuchnięta i piecze przy wejściu i trochę dalej. Byłam na początku u ginekologa to w ciemno leczył mnie na grzyba i stwierdził zapalenie pochwy, brałam różne grobulki i nic... W końcu zrobił mi posiew z pochwy i nic nie wyszło. Mówi, że nic mi nie jest i nie wie co mi jest, ale dlaczego mnie piecze po stosunku i w trakcie? ? Myślę, że to może być zapalenie cewki moczowej i to jakoś działa na pochwę. Tak może być?",28-08-2014,"pochwy
wejściu
opuchnięta
stosunku
ginekologa","cewka moczowa
zapalenie cewki moczowej","piecze po stosunku
cewka moczowa
pęcherze moczowe
piece po stosunku",,
1489,10418,medyczka,Bół jajników,"Wita, mam problem z bólem jajników. Nie mam dni płodnych. Cykl trwa średnio 31 dni, miesiączka trwa 7 dni. W tą sobotę skończył mi się okres. Wczoraj uprawiałam seks bez zabezpieczenia...tzn. partner wszedł we mnie parę razy, nie doszło do wytrysku. Wiem, wiem, że przed wytryskiem w płynie partnera też są plemniki. W nocy strasznie zaczęły mnie boleć jajniki i bolą do tej pory. Dni płodne z obliczeń wypadają w sobotę, a owulacja w przyszły czwartek. Nie wiem co jest grane. Czy dni płodne mogły mi się przesunąć? Dodam, że śluz( w sumie jego brak) jest koloru biało-żółtego, i są to kropki na placu, nie można go nazwać wyciekającym, tylko jak dotknę wejścia do pochwy to śluz zostaje na placu. Wejście do pochwy jest zamknięte. Czy ciąża wchodzi w grę? Strasznie się boję, proszę o pomoc. I do tego ten ból jajników.",25-08-2014,"dni płodnych
pochwy
placu
śluz
sobotę","dni płodne
owulacja
plemniki
wytrysk","ból jajników
owulacja
wytrysk
plemniki
ciąża",,
1780,1044,medyczka,Problem zatkanych uszu,"Witam, od kilku lat mam problem związany z moimi uszami. Całym rokiem, dosłownie przez cały dzień, czuje jakby nagłą zmianę ciśnienia w uchu, jakby bębenek odwracał się na druga stronę co sprawia duży dyskomfort. Jedyne co pomaga (chwilowo) to zaciągniecie powietrza nosem, wtedy czuje ze bębenki wracają do normy oraz ciśnienie w uchu środkowym. Niestety - pomaga to tylko na chwile poczym problem znów powraca. Jest to dość upierdliwe. Wiecie może jaki jest tego powód? Może jakaś wydzielina która się tam zebrała.",22-08-2019,"uchu
ciśnienie
normy
duży dyskomfort
druga stronę","bębenek
ciśnienie w uchu","ciśnienie w uchu
bębenek
ucho środkowe",,
510,10455,medyczka,Ciąża?,"Witam serdecznie. Ostatnio moja dziewczyna zaczęła źle się czuć. Mdli ją (choć ani razu nie wymiotowała), nie ma apetytu, boli ją głowa i brzuch oraz jest zmęczona. I na dodatek okres spóźnia się jej 2 dni. Czy to wszystko są objawy ciąży? Czy może jest na coś chora? Dodam, iż około pół roku temu borykała się z jakimś zapalaniem pochwy.Pozdrawiam",19-08-2014,"brzuch
głowa
zmęczona
dodatek okres
apetytu","ciąża
zapalanie pochwy
zapalenie pochwy","zapalanie pochwy
ciąża
kobieta
zapalenie pochwy",,
1265,10473,medyczka,najlepsze pasty na paradotozę ?,jakie są najlepsze pasty na paradontozę,17-08-2014,"najlepsze pasty
paradontozę","preparaty na paradontozę
paradontosophy
pasty naparadonto","pasta na paradontozę
pasta
pardontoza",zdrowie,
293,10481,medyczka,Jak sobie poradzić z problemami z orientacją w terenie?,"Witam! Mam 19 lat i od kiedy pamiętam problem z orientacją w terenie, martwi mnie to bo w tym roku idę na studia do obcego miasta i dlatego chciałbym wiedzieć czy istnieje jakiś sposób aby chociaż trochę załagodzić ten problem?",15-08-2014,"orientacją
problem
terenie
studia
obcego miasta","orientacja w terenie
orientacje w terenie","orientacja w terenie
geotechnika
orientacja na terenie",edukacja,
216,10487,medyczka,"co robić jeśli osoba, którama 87 lat ma wypryski na twarzy i powiekach podobne do opr",półpasiec oczny jak go leczyć i jak długo osoba jest zakaźna,03-08-2014,"osoba
zakaźna
półpasiec oczny","półpasiec oczny
choroby zakaźne","choroba zakaźna
półpasiec oczny
choroby zakaźne",zdrowie,
1477,10489,medyczka,Ból gardła i wysoka gorączka,"Witam. Od 3 dni mam niemały problem ,a mianowicie:W środę 13.08 byłem na rybach na łódce , łapaliśmy od 9-14 rano tego dnia jeszcze przed wyjazdem bolała mnie lewa strona gardła tzn lewy migdał. Ból ustąpił około godziny 15 czułem się już dobrze. Poszedłem spać około godziny 11 w nocy ze świetnym samopoczuciem miałem bardzo dobry humor. O godzinie 2 w nocy obudził mnie straszny ból prawego migdała i wysoka gorączka (dziwne ,że lewy migdał juz wcale nie boli...) nie miałem siły wstać z łóżka miałem dreszcze i okropnie się czułem po jakiejś godzinie zasnąłem. o godzinie 4-5 nad ranem zaś się obudziłem z gorączką miałem dreszcze w tą noc wypiłem całą butelkę wody. O godzinie 8 rano w czwartek 14.08 zmierzyłem gorączkę miałem 39,7 ""C wziąłem thera flu po 2 godzinach temperatura spadła do 38,7'C cały dzień przespałem gdyż nie mialem na nic siły. po południu okolo godziny 15 wziąłem panadol bo mialem gorączkę 40,3 'C. Zbił temperaturę do 38,4 'C. o godzinie 21 zażyłem nurofen ultra forte o 12 w nocy mialem 37,5'C. Dzisiaj 15.08 o godzinie 8 rano miałem gorączkę 39,3'C nie miałem dreszczy zażyłem nurofen ultra forte po godzinie mialem 38,4'C mimo gorączki czuję się dobrze chociaż bardzo boli mnie gardło nawet przy przełykaniu śliny. Oprócz leków robiłem sobie okłady. Moja mama była chora przede mną tez bolał ją prawy migdał miala gorączkę38-39 stopni. Prawdopodobnie zaraziłem się od niej. Pomogło jej Thera flu więc też brałem ,ale mi nie pomogło. Przez pierwsze 2 dni miala wysoką gorączkę a w 3 dzień juz czuła się lepiej. Proszę podpowiedzieć jak zbić gorączkę? Z góry dziękuję",15-08-2014,"godziny 15
gorączkę
nocy
lewy migdał
dreszcze","badania laboratoryjne
choroby zwierzat
choroby czlowieka
gorączka
choroby","łódka
ból
wlasciwosci fizyczne
mieso na łódce",zdrowie,
146,10514,medyczka,spóźniający sie okres przez 11 dni,"witam, 11 dni spóźnia mi sie okres, z reguły mój cykl trwa 30-33 dni niekiedy spóźnia mi sie do5-6 dni. dziś już 11 i nie wiem czy moge byc w ciąży. Czuje się bardzo dobrze, nie mam żadnych dziwnych objawów,nic mnie nie boli.współżyłam z chłopakiem wytrysk był na zewnątrz lecz w połowie stosunku założył prezerwatywę. w ostatnim czasie cięzko pracuje jako kelnerka ,w weekendy przez 24-26 godzin jestem na nogach w pracy i czy to moze miec jakiś związek z brakiem miesiączki a nie ciąża? denerwuje i to może dodatkowo opóźnia ale nie wiem sama co sie dzieje.Prosze o szybką porade",12-08-2014,"dni
nogach
prezerwatywę
pracy
ostatnim czasie","ciąża
prezerwatywa
wytrysk","wytrysk
ciąża
prezerwatywa",,
