Year,Month,topicrank,voicelab,clarin,textclass,ner
2017,08,prawego korzenia nerwu l5,kanał kręgowy,uwypuklenie,zdrowie,Holandia
2017,07,mama,blednik,praca,zdrowie,dzidziuś
2021,03,zapalanie cewki,cewka moczowa,zaczerwienienie,,imgur.com/a/AafZcy8
2021,04,wynik,badania RTG klatki piersiowej,nabranie powietrza do płuc,zdrowie,
2021,05,okiem,narośl,narośl,zdrowie,
2021,11,makaron,dieta,orzeszki ziemne,,biedronka
2021,07,zbijana lekami przeciwgorączkowymi,biegunka,leki przeciwgorączkowe,zdrowie,XEvil
2021,06,badanie,badania z krwi,badania watrobowe,zdrowie,Dzień DobryDwa
2021,01,kasą,cyclo3forte,rehabilitacja,zdrowie,Proxacin
2021,08,enteric,sanprobi 4 enteric,sanprobia 4 enteric,zdrowie,Canva Pro
2021,12,nieprawidłowe parametry,NRBC 0,NRBC,ekonomia,NRBC
2021,10,ból oczodołów,ból głowy,EKG,zdrowie,
2021,02,raz,żylaki,żylak,zdrowie,
2015,12,ból,badania laboratoryjne,ciąża,zdrowie,USA
2015,11,dniach,dieta,anoreksja,zdrowie,Nigella
2015,01,malu kaszel,kaszel,szkolenie,zdrowie,Artilla
2015,04,bóle dłoni,depresja,choroby,zdrowie,Internet
2015,08,uchem,ciąża,ból,zdrowie,jakub1@onet.plDziękuję
2015,09,ból głowy,dieta,ból głowy,zdrowie,Durogesic 75
2015,02,nudności,wymiotowanie,zawroty głowy,zdrowie,Lokomotiv
2015,06,lekarza,bakterie,ból,zagranica,TSH
2015,05,celu usunięcia mikroczipów,krioablacja,nadciśnienie,zagranica,chirurg
2015,10,dni,rehabilitacja,rehabilitacja,zdrowie,Bartłomiej
2015,07,lek,trądzik,trądzik,zdrowie,Yasminelle
2015,03,miejscu,zszywanie palca,rehabilitacja,zdrowie,Izotek
2010,05,porodzie,ciąża,szpital,,
2010,03,czubku głowy,masturbacja,masturbacja,,
2010,11,podwyzszone dhea,DHEA,obnizyca,,DHEA
2010,08,dodatkowe informacje,dieta,pies pogrzebany,ciekawostki,
2010,07,żołędziem,napletek żołędzia,masturbacja,ciekawostki,
2010,06,kolanie,opuchlizna,opuchlizna maści,,
2010,02,dziecko,biotaksy,bakteria streptococcus pneumoniae,zdrowie,ACAI
2010,12,letnia córka,acidolac junior,leki osłonowe,zdrowie,Elofen
2010,04,bol,bolesci w nadbrzuszu,bolesci,,
2010,01,zaszetki,depakine chrono 500,depakine chrono 500,gospodarka,tke@onet.eu
2010,10,ból,apap,migdałki,zdrowie,
2009,12,lata,dipromal,dipromal,zdrowie,Prosto z mostu
2023,02,e-mail,E-mail,e-mail,zagranica,
