Year,Month,topicrank,voicelab,clarin,textclass,ner
2014,01,odrobinę podwyższone monocyty,inhalacje z soli fizjologicznej,ból,zdrowie,Lodzia
2014,11,normie wyniku ujemnegoebv igm igg,robienie doktoratu z wolnego stopy,ból głowy,zdrowie,IGM 0
2014,12,konsekwencje połączenia ospy,guzy w górnym biegunie nerki,zapalenie pęcherza moczowego,zdrowie,TSH 2
2019,09,cda film lektor pl,Wilk w owczej skórze 2 cda,rezonans głowy,zdrowie,Wilk w owczej skórze
2019,08,badanie włosa pierwiastków śladowych,laserowe usuwanie pieprzyku z twarzy pod nosem,zapalenie gardła,zdrowie,OxyTerapia
2019,07,badanie rtg klatki piersiowej,badania rezonansem magnetycznym kręgosłupa szyjnego,badania rezonansem magnetycznym kręgosłupa szyjnego,zagranica,OxyTerapia
2019,06,paski steri strip,paski steri strip,paski steri strip (szwy zewnętrzne),turystyka,Wiedeń
2019,05,terapię kremem rozex,guzek w kąciku oka,pielęgnacja cery naczynkowej,zdrowie,Graves Basedow
2019,04,pilam piwa,choroby zwierzat,pic piwo,zdrowie,
2019,01,usg wykazywalo stany zapalne,rtg kości ramieniowej,farba olejna 30 letnia,zdrowie,FRFSE
2019,03,zatoki oboczne nosa,zatoka oboczna nosa,jubiler internetowy,zdrowie,"Lymph 3,91Mono 1"
2019,02,ćwiczenia funkcjonalne,cele terapi,biorę BCAA max,badania medyczne,POLANDA
2019,12,powodu bólu jądra,napletek z żołędzia,ból jądra,,
2019,10,leczony antybiotykiem doxycyclinum tzf,okulista w szpitalu,badania posiewu z moczu,styl życia i wypoczynek,Letrox 75
2019,11,pęcherza moczowego widoczny,pętle jelitowe,pęcherz moczowy,,
2022,11,replantacji wybitego zęba,replantacja wybitego zęba,trauma z gimnazjum,ludzie,Bebilon
2022,10,nabyciem fachowych kwalifikacji,umowa o dzieło,umowa o dzieło,zdrowie,Pożegnanie Lata w Iłowie
2022,09,typography,inventions of typography,theory of the literature,,
2022,06,dziwną zmianą skórną,best pron sites,zmiany skórne,zdrowie,fremitus.pl/hemoliza-w-probce
2022,03,niespecyficzne zmiany związane,oddychanie w czasie wysiłku fizycznego,maść konopna Cutis Ł,zdrowie,pozycja
2022,01,filtr światła niebieskiego,Glucophage xr 1000,witamina B2,zagranica,Duke de Montosier
2022,07,asian nude model,Duke de Montosier,arian nude model,oprogramowanie,Duke de Montosier
2022,08,choroby przenoszone drogą płuciową,choroby przenoszone drogą płuciową,choroby przenoszone drogą płuciową,zdrowie,
2022,04,laparoskopowej cholecystektomi,kamienie w pęcherzyku żółciowym,ekstrakcja wyrzniętych zębów trzonowych żuchwy,zdrowie,. Kod: Zaznaczcałymedtube.pl
2022,02,usg jamy brzusznej robione,kąt odchylenia osi widzenia,kąt odchylenia osi widzenia,zdrowie,iTrace
2022,05,bezpieczne przechowywanie danych,wgląd w tętno,opieka nad Mamą,ekonomia,
2022,12,leki,choroba,leki przeciwbólowe,zdrowie,
2013,11,lewy węzeł chłonny,choroby z gardłem,antybiotyk Dalacin 75 mg,zdrowie,Autyzm bez łez
2013,12,lewą strone prawego kolana młotkiem,strzykawka z zaokrągloną końcówką (jak na zdjeciu),zawroty głowy,zdrowie,Europejski Fundusz Rozwoju Regionalnego
2013,10,zapchane zatoki czołowe lewa strona,paznokiec z palca unogi,paznokiec z palca u stopy,zdrowie,zol
2013,09,ostry ból promieniujący,naderwane wiązadło krzyżowe przednie,rezonans magnetyczny,zagranica,P.doktor
2013,08,piaty dzien miesiaczki,cykl miesiaczki,ból stóp,zdrowie,Novaminsulfon
2013,07,objawy grzybicy wątroby,guz na pośladku,wlasciwosci zdrowotne,zdrowie,ASPAT
2013,06,robioną tomografię komputerową głowy,ból brzucha,zdrętwiały paluch u nóg,zdrowie,Nuva Ring
2013,05,wpływ utraty masy ciała,sen w polowie swiadomy,mysli wychodza z glowy,zdrowie,euvax
2013,04,oddania leki immunosupresyjne equoral,badania krwi i moczu,badania krwi i moczu,zdrowie,Alt 9.3
2013,03,wyniki badań moczu,mocz w pęcherzu moczowym,ból w pęcherzu moczowym,zagranica,Fraxiparine 0
2013,02,klatce piersiowej,choroba zakaźna,choroba przewlekła,zdrowie,Holandia
2013,01,jednej nieprzespanej nocy,witaminy w tabletkach dla kobiet,ból w kręgosłupie,zdrowie,Amoksiklav 400MG+57MG /5ML
2011,11,śluz białawy klejący przypominający białko,wywpryski na worku i na penisie,wypryski na worku i na penisie,zdrowie,MON
2011,12,uchem sporego guza,rtg czynnościowy szyi,uraz szyi,zagranica,Dicloreum
2011,10,pełen stresów dzień spowodowanych,przewlekły zapalenie oskrzeli,wycięcie na granicy cięcia,zdrowie,Quixx
2011,09,rozpoczęciem leczenia,orgimentil 5 mg,leki z alkoholem,zdrowie,Internet
2011,08,leczenia ostrogi ultradźwiękami,magnez z wapniem,wystepowanie złóżonej natury,zdrowie,S.K
2011,07,powodu lagodnej niedoczynności tarczycy,skurcze w podbrzuszu,ból głowy,styl życia i wypoczynek,Ast
2011,06,zapalenie naczyń chłonnych,choroby układu limfatycznego,choroby układu limfatycznego,zagranica,Duomox
2011,05,trakcie pobierania próbek,szczepienia na choroby zakaźne,alergia na slonce,zdrowie,azalia
2011,01,zastosowanie preparatu laxinat,bol opd lewa piersia,bol opd lewa piersia,zdrowie,Laxinat
2011,04,bóle mięśniowe,choroby oskrzeli,ból głowy,zdrowie,Uk
2011,03,trzeciej dawki miesiąc,szczepienie wzw typu B,szczepienie wzw typu B,zdrowie,
2011,02,jaiegoś czasu,nerwica zoladka,pieczenie w przełyku,,
2018,12,rezonans magnetyczny głowy,jądra gładko zarysowane nie powiększone,rezonans magnetyczny głowy bez kontrastu,zdrowie,Poznań
2018,11,perystaltykę jelit,wystaje z palca,perystaltyka jelit,zagranica,Amertil
2018,10,dyskretna sfera podwyższonego sygnału,pieczenie w glowie z lewa tylniej strony,pieczenie w glowie,zdrowie,
2018,05,zaczerwienionym ujściem cewki moczowej,wyciagany zeb mleczny,zaczerwienione ujście cewki moczowej,zagranica,Gilenya
2018,09,testem firmy roche metodą elektrochemiluminescencji,plama na stopie,aparat Cobasanty-TPOanty- TPO,katastrofy i wypadki,Roche
2018,08,przypadku przekroczenia poziomu kwasu moczowego,gazy trawienne,kwas moczowy we krwi,zdrowie,Politechnika Wrocławskiej
2018,01,nagłych napadów płaczu,nagły napady płaczu,nagły napad płaczu,zdrowie,Enterol 250
2018,07,niewielkie klinowe obniżenie wysokości trzonów,uraz skrętny stawu skokowego,uraz skrętny stopy,zdrowie,Zespół Jelita Wrażliwego
2018,06,klatce piersiowej ból,ból w skali 1-10 to 9,higiena jamy ustnej,styl życia i wypoczynek,złoty
2018,04,zwężenie szpary stawu śródstopno-paliczkowego palucha,uwypuklenie na powierzchni bocznej V kości śródstopia lewego,wyprysk na dłoniach i stopach,zdrowie,Adam
2018,03,objawy zapchany nos,trądzik na twarzy,trądzik na twarzy,zdrowie,Dao
2018,02,piszczelowym wydłużenie latencji końcowej,odme pod powiekowa,odme pod powiekowe,zdrowie,
2012,12,lekarza pierwszego kontaktu,choroby czlowieka,ból głowy,zdrowie,Ola
2012,11,straszny ból gardła,oxalin w żelu,naciek pod prawym uchem,zdrowie,Metafen
2012,10,infekcyjne zapalenie wezłów chłonnych,ANA2 i ANA 2,rwanie w łokciu,praca,Warszawski Uniwersytet Medyczny
2012,09,liczba osób zakażonych wirusem hcv,wirusowe zapalenie wątroby typu C,wirusowe zapalenie wątroby typu C,zagranica,Światowa Organizacja Zdrowia
2012,08,następnym miesiącu 29,nadzial sie na żebra,bóle stawów kolanowych i łokciowych,styl życia i wypoczynek,CCP
2012,07,dolnej czesci pleców,6) i prawidłowe płytki krwi,bóle pleców,zdrowie,CRP
2012,06,mozliwosc otrzymania bezplatnych swiadczen,bezplatne swiadczenia u lekarza,sex oralny w prezerwatywie,zdrowie,Kinga Wesołowska
2012,05,niskim poziomem płytek,bol nei ustaje,chondropatia II st i dół podkloanowy wolny,zdrowie,Zyrtec
2012,04,leczona niedoczynność tarczycy,wiezozrost stawu barkowo-lokciowego,wiezozrost stawu barkowo lokciowego 1 stopnia,zdrowie,brazylijski
2012,03,wyniki badan sa wporzadku,wyjscie po schodach,choroby psychiczne,zdrowie,WBC
2012,02,wysokości klatki piersiowej,tatuaż w niewidocznym miejscu,praca dla psychiatry,praca,
2012,01,górna lewa strona ciała,przeprost cisnienia w komorze serca,żel kojący BAIFEM K,styl życia i wypoczynek,APIVAGINUM
2016,11,pojedynczym czynnikiem niewyleczalności omówienie artykułu,wirusy niedoboru odporności typu 1 (H,szeokowopodstawna posrodkowa wypuklina krążkow miedzykregowych uciskajace na worek oponowy,zdrowie,"Klinika Chorób Zakaźnych, Chorób Wątroby i Nabytych Niedoborów Odpornościowych"
2016,09,długookresowe monitorowanie stanu zdrowia chorego,irygator do oczyszczania jamy nosowej i zatok przynosowych,choroby grzybicze błony śluzowej jamy ustnej,zdrowie,American Society of Clinical Oncology
2016,08,polskie towarzystwo żywienia pozajelitowego,zaburzenia czlowieka,choroby zakaźne,zdrowie,Polskie Towarzystwo Żywienia Pozajelitowego i Dojelitowego
2016,10,kierownik oddziału dzieci starszych neurologii,depresyjne formy obwiniania się z poczuciem winy,depresyjne formy obwiniania się z poczuciem winy,zdrowie,"Haglunda to patologia opisanaporazpierwszyw1928roku.Chorobataobjawiasiębólemokolicypięty.Dolegliwościspowodowanesązaostrzeniemtylno-górnejpowierzchnikościpiętowej.Wystąpieniuobjawówsprzyjanajczęściejużywaniezbytciasnychbutów,lubbutówzesztywnymnapiętkiem,urazbezpośredniokolicypiętylubintensywnytreningbiegowy.Nicwięcdziwnego,że chorobę tę rozpoznaje się najczęściej u biegaczy, tancerzy czy piłkarzy którzy często używają za małych butów aby „lepiej czuć piłkę”. Przyczyna deformacji kostnej nie jest znana. Wydaje się być ona częstsza przy stopach płaskich oraz u kobiet w wieku 15-35 lat. Objawy choroby: - Ból okolicy pięty, - Zgrubienie lub uszkodzenie skóry w miejscu bolesnym, - Ból po zmianie butów na buty ze sztywnym napiętkiem (np. letnich na zimowe) Ból w okolicy pięty nie jest jednoznaczny z rozpoznaniem „Pięty Haglunda”. Dokładne badanie kliniczne oraz zdjęcia RTG są konieczne dla prawidłowego postawienia rozpoznania. Szczególnie ważne jest wykluczenie zapalenia bądź uszkodzenia ścięgna Achillesa, mogące być początkiem całkowitego jego zerwania. Często kilka patologii współistnieje ze sobą, bądź jedna wywołuje inną. Zaostrzenie tylno-górnej krawędzi kości piętowej powoduje drażnienie kaletki głębokiej ścięgna Achillesa oraz samego ścięgna. Pojawia się stan zapalny, który przy długotrwałym oddziaływaniu na może doprowadzić do uszkodzenia ścięgna Achillesa. Różnicowanie patologii: - Pięta Haglunda"
2016,05,zwiększenie liczby przypadków gruźlicy płuc,zaburzenia rytmu serca,cukrzyca typu 2,zagranica,AE-PCOS – Androgen Excess and PCOS Society
2016,12,alergicznym zapaleniem błony śluzowej nosa,Laboratoria Polfa Łódź Alergo Max,angiografia rezonansu magnetycznego szyi z podaniem wewnątrznaczyniowego środka kontrastowego,zdrowie,"Klinika Chorób Zakaźnych, Chorób Wątroby i Nabytych Niedoborów Odpornościowych"
2016,03,zaprojektowanie metaanalizy obejmującej badania kohortowe,coronary artery bypass graft surgery,szpital dziecięcy im. Św. Ludwika w Krakowie,zdrowie,"Katedra i Klinika Nefrologii, Endokrynologii i Chorób Przemiany Materii"
2016,01,czasu,SESJA I - ZAWAŁ SER,zaburzenia snu,zdrowie,III Konferencji Nowoczesnych Technik w Chirurgii Naczyń i Chirurgii Ogólnej
2016,02,licznymi polipami gruczolakowatymi jelita grubego,zaburzenia czynności dolnego odcinka dróg moczowych,zaburzenia czynności dolnego odcinka dróg moczowych,zdrowie,Mateusz Spałek
2016,06,duże nieuszypułowane polipy jelita grubego,refluks 3 stopnia na lewa nerke,pneumococcal polysaccharide vaccine 23 (PPV23),zdrowie,"Katedra i Klinika Chirurgii Ogólnej, Transplantacyjnej i Wątroby"
2016,07,bezprzewodowe urządzenie głowica pokryta mikrogranulkami,Polska Koalicja na Rzecz Walki z Rakiem Szyjki Macicy,tabletki antykoncepcyjne,zdrowie,"Katedra i Klinika Dermatologii, Chorób Przenoszonych Drogą Płciową i Immunodermatologii"
2016,04,obrzęk tkanek miejskich prawego podudzia,ESC Guidelines for the Diagnosis and Management of Pericardial Disease,artroskopowa rekonstrukcja stożka Rotatorów Z Powodu Częściowego Rozdarcia,zdrowie,Pierwotne niedobry odporności w praktyce lekarza podstawowej opieki zdrowotnej
2017,05,pierwszymi objawami raka jelita grubego,MR kregoslupa ledzwiowego i piersiowego,krem z filtrami SPF 50+,zdrowie,Towarzystwo Diabetologiczne Standards of Medical Care in Diabetes
2017,01,środków spożywczych specjalnego przeznaczenia żywieniowego,guz na wewnętrznej stronie dolnej wargi,krem leczniczy przeciwko odparzeniom Eryzinc Alphanova Bebe,zdrowie,Program Szczepień Ochronnych na rok 2017
2017,03,utrzymania prawidłowego metabolizmu makroskładników odżywczych,ból na mięśniach w okolice piszczeli,atopowe zapalenie spojówek i rogówki,zdrowie,Instytut Gruźlicy i Chorób Płuc w Warszawie
2017,04,wykonania endoskopowego usunięcia śluzówki krok,podróż z dzieckiem w wieku starszym,endoskopowe usuwanie śluzówki krok po kroku,zdrowie,"Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych"
2017,06,naturalnym składnikiem ścian komórkowych grzybów,guzy z mikrosatelitarną wysoką niestabilnością,fald blona sluzowa guzkowo zmieniony,zagranica,European School Survey Project on Alcohol and Drugs
2017,02,szkodliwy wpływ środowiska zewnętrznego,kaloria w dni wstania o godzinie 6 lub 9,wstana o godzinie 6 rano,zdrowie,International Society for the Study of Vascular Anomalies- ISSVA
2017,10,wewnętrznej stronie warg,afty w jamie ustnej,afty w jamie ustnej,zdrowie,Crona
2017,11,szpitalu dongguan shixin,ból głowy,węzły chłonne na szyi,zdrowie,dongguan shixin
2017,12,przyczepie kempingowej chłopak zemdlal,ziołowe środki na us,ból szyi,ciekawostki,Asertin
2017,09,badania krwi robione,ból bioder,ból gardła,zagranica,
2017,08,prawego korzenia nerwu l5,kanał kręgowy,maść Flucinar N,zdrowie,Holandia
2017,07,odczulanie męża szczepionka allergovit,allergovit b trawy zboza,allergovit b trawy zboza,zdrowie,dzidziuś
2021,03,ujściu cewki moczowej,cewka moczowa,cewka moczowa,,imgur.com/a/AafZcy8
2021,04,późne nabranie powietrza,badania RTG klatki piersiowej,nabranie powietrza do płuc,zdrowie,
2021,05,snu nieświadomie,masturbowala sie podczas snu,narośl,zdrowie,
2021,11,płatki owsiane górskie,dieta zywnosciowa,wzdęcia u siebie,,biedronka
2021,07,zbijana lekami przeciwgorączkowymi,szczepionka mmr vax pro,szczepionka mmr vax pro,zdrowie,3487 P.S
2021,06,oprucz prób watrobowych,badania z krwi,rumianek plus podbiał,zdrowie,Dzień DobryDwa
2021,01,strony wewnętrznej,zakrzepowe zapalenie żył pod,ból głowy,zdrowie,Proxacin
2021,08,just check this out,sanprobi 4 enteric,Bin card creation software,zdrowie,Canva Pro
2021,12,nieprawidłowe parametry,NRBC 0,NRBC,ekonomia,NRBC
2021,10,wzmożone wydalanie kału,ból głowy,ból głowy,zdrowie,
2021,02,czerwone plamki,żylaki,żylak,zdrowie,
2015,12,ból,badania laboratoryjne,korekcja kształtu nosa,zdrowie,Stowarzyszenie Promocji Zdrowego Stylu Życia
2015,11,średnie stężenie soli wapnia,dotyk skóry głowy i włosów,dotyk skóry głowy i włosów,zdrowie,Przyjaciel Forum
2015,01,fizjologiczna lordoza lędźwiowa zachowana,ból w części górnej przyśrodkowej prawego uda,kształcenie ustawiczne w formach pozaszkolnych,zdrowie,rozporządzenia Ministra Edukacji Narodowej z dnia 11.01.2012 r. w sprawie kształcenia ustawicznego w formach pozaszkolnych
2015,04,rocznej córeczki siwy włos,bol po lewej stronie plecow,antybiotyk Duracef 500 mg 2 razy na dobę,zdrowie,Internet
2015,08,usilnych prubach poprawienia prążenia,życie z dnia na dzień,paznokieć palucha stopy lewej,zdrowie,SOFLENS 38
2015,09,ból głowy,chłoniak strefy płaszcza IVB,krwotok z nosa i skroni,zdrowie,Durogesic 75
2015,02,przywnękowych partiach płuca prawego,klucie w klatce piersiowej,guzek na rece przed lokciem,zdrowie,Lokomotiv
2015,06,stłuczeniu szyi dolna prawa strona,zapuszczane od 2-óch lat włosy,ryzyko zajścia w ciążę,zagranica,Xefo Rapid
2015,05,celu usunięcia mikroczipów,MIKROCZIPY OCZY USZY I INNE CZĘŚCI CIAŁA,usuwanie kamieni z nerki,zagranica,chirurg
2015,10,okolicy kosci strzalkowej lewej nogi,bialko w duzej ilosci,ciala nawracajaca bialako w duzej ilosci,zdrowie,Bartłomiej
2015,07,niewielkie zwezenie przestrzeni m-kregowej l5-s1,konsumentka w sklepie spożywczym,pieczenie u wejscia do pochwy,zdrowie,Yasminelle
2015,03,prawej ręce zaczerwienione krostki,rehabilitacja łękotki i wiązadeł,łączenie się nosa z gardłem,zdrowie,Izotek
2010,05,pierwszy okres,ciąża,szpital,,
2010,03,czubku głowy,masturbacja,wypadanie włosów,,
2010,11,podwyzszone dhea,hormony czlowieka,zywienie czlowieka,,DHEA
2010,08,dużej ilości tłuszczów,dieta zywnosci,pies pogrzebany,ciekawostki,
2010,07,ostatniej masturbacji,napletek żołędzia,masturbacja,ciekawostki,
2010,06,kolanie,opuchlizna,maść w kolanie,,
2010,02,dużej dawki antybiotyku,dieta oparta na liczeniu kalorii,dieta oparta na liczeniu kalorii,styl życia i wypoczynek,ACAI
2010,12,letnia córka,acidolac junior,leki osłonowe,zdrowie,Elofen
2010,04,bol,tomografia komputerowa jamy brzusznej,tomografia komputerowa jamy brzusznej,,
2010,01,zaszetki,depakine chrono 500,depakine chrono 500,gospodarka,tke@onet.eu
2010,10,ketonal forte,ketonal forte,wycięcie migdałków,zdrowie,
2009,12,razy depakine chrono,depakine chrono 500,depakine chrono 500,zdrowie,Prosto z mostu
2023,02,oddział laryngologiczny,e-mail marketing,wycinki z nosogardła,zagranica,
